district,doc,pre_date,cur_date,days,pre_read,cur_read,consumption,bill,obstcle,meter,Y,X,ID,flats,land_use,capacity,diameter
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11133314,970830,950510,248,6296,17790,342,1649123,nan,1391/05/23,,272960.653852,23550600,21,مسكوني,48,0.75
ناحيه 50 مراکز اداري دولتي ,11510592,980515,950901,166,5905,3633,430,786566,قرائت نشده,1397/09/06,,,21543200,7,مسكوني,35,0.75
ناحيه 1 گرگان,41155403,960223,990307,22,10378,84,57,773693,قرائت نشده,1396/04/03,,,42230600,24,مسكوني,52,0.75
املاک استيجاري اموزشي  ,11341791,951120,970913,228,4522,19214,391,1091988,nan,1393/06/19,4077508.46463,272470.316294,27060300,14,مسكوني,198,0.75
ناحيه روستايي گرگان,11176412,980311,981124,110,617,6024,2,775676,قرائت نشده,1399/04/24,,,14950525,7,مسكوني,6,0.75
ناحيه 7 گرگان,11441132,970526,970605,138,7757,2295,501,184380,nan,1390/03/29,,,17260000,1,مسكوني,131,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11397079,950204,990629,317,9055,2480,476,904759,قرائت نشده,1397/06/24,4078715.37272,,14491585,8,مسكوني,77,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11451278,980808,971026,150,9082,1920,10,345402,قرائت نشده,1398/04/15,4075797.85622,,16994200,28,مسكوني,165,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,61694483,950710,950610,26,12370,14013,289,1429975,قرائت نشده,1393/12/23,,,24300100,21,مسكوني,18,0.75
ناحيه 50 مراکز اداري دولتي ,61689608,991029,960221,158,6188,17866,349,1470714,nan,1395/02/21,,,51572055,1,مسكوني,104,0.75
ناحيه 8 گرگان,11157787,981125,990804,229,10395,10296,140,1494395,قرائت نشده,1397/04/08,,270981.68827,41680700,14,مسكوني,13,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11463471,980906,960328,159,426,18734,141,218488,قرائت نشده,1395/11/12,4077591.23897,,16710400,17,مسكوني,20,0.75
ناحيه 3 گرگان,11112287,980727,980513,93,2978,8764,528,1225499,nan,1394/06/21,,,26470300,4,مسكوني,75,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11319493,980921,980822,231,2330,17536,548,926499,قرائت نشده,1394/10/23,,273012.21006300004,36212200,24,مسكوني,7,0.75
ناحيه 3 گرگان,11548352,950426,951122,170,26645,10898,168,449566,nan,1394/09/07,4080409.69128,271309.710811,27082900,7,مسكوني,10,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11292013,951214,970826,230,17458,13780,438,1132245,nan,1398/07/02,,,42154200,14,مسكوني,77,0.75
ناحيه 9 گرگان,11492560,970928,990823,195,9649,16822,630,964185,از کار افتاده,1395/03/10,,,63141600,6,مسكوني,28,0.75
ناحيه 8 گرگان,11340841,990610,950927,184,17611,14826,387,1019040,nan,1396/02/13,4082118.21554,272203.343922,27101900,24,مسكوني,50,0.75
املاک استيجاري اموزشي  ,11314467,990822,950926,95,1780,4445,282,203491,nan,1390/03/18,4079837.60507,267627.309214,26206200,17,مسكوني,36,0.75
ناحيه 2 گرگان,11166875,980431,951003,362,13824,17685,164,768290,قرائت نشده,1398/08/01,,,27086400,23,مسكوني,66,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11574094,940910,950819,180,2024,2170,650,698397,قرائت نشده,1395/05/05,4079536.93054,272383.30408200005,24120300,9,مسكوني,7,0.75
ناحيه 8 گرگان,11129023,971213,961006,296,2815,3678,590,799431,قرائت نشده,1395/05/25,,,11210001,11,مسكوني,40,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11220225,980216,990519,1210,2052,10881,459,254125,قرائت نشده,1390/12/11,4080161.80784,,23220500,8,مسكوني,30,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11665982,960421,971127,245,3344,3708,527,756397,از کار افتاده,1390/02/01,,,16978300,11,مسكوني,58,0.75
ناحيه 2 گرگان,11113313,980809,950724,202,3155,7555,95,624693,از کار افتاده,1399/12/09,,273310.631669,45711000,14,مسكوني,5,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11530500,970908,980203,373,13441,16379,108,511851,از کار افتاده,1397/08/29,,,21451001,8,مسكوني,104,0.75
ناحيه 2 گرگان,11277669,940714,960131,175,1439,3685,249,2055967,از کار افتاده,1394/08/26,,,26203600,12,مسكوني,48,0.75
ناحيه 7 گرگان,11497553,990816,971105,8,3341,455,677,2711903,از کار افتاده,1394/07/19,,,33252200,18,مسكوني,42,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11456903,981219,980529,121,8031,9578,1866,317908,nan,1396/10/06,4079509.19759,273813.356173,27073675,15,مسكوني,62,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11210815,980322,951116,600,3937,566,568,152056,nan,1397/08/21,4080654.46687,,44141800,23,مسكوني,100,0.75
ناحيه 2 گرگان,11499742,941218,980205,34,1455,26,650,1085237,قرائت نشده,1399/06/17,54.39494166666661,,86104106,20,مسكوني,51,0.75
ناحيه 1 گرگان,61696749,990616,990708,22,3732,8849,14,3626028,nan,1397/08/20,4080231.45679,,25184100,24,مسكوني,10,0.75
ناحيه 6 گرگان,11147943,941029,960602,100,22131,4062,1350,398402,قرائت نشده,1398/02/31,,273478.570093,25054700,23,مسكوني,8,0.75
ناحيه 50 مراکز اداري دولتي ,11704104,981107,960929,217,11428,2928,535,950535,از کار افتاده,1393/08/08,4080284.0364,272790.936396,27024800,11,مسكوني,80,0.75
ناحيه 4 گرگان,11475657,951018,960809,8,8400,17530,591,336548,قرائت نشده,1394/06/18,,,12220200,3,مسكوني,23,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11212907,960318,950118,200,2292,2633,407,261702,قرائت نشده,1396/07/06,4077065.69219,,16965400,12,مسكوني,296,0.75
ناحيه 2 گرگان,11186922,980504,971001,50,7042,17636,574,108568,nan,1396/06/01,4078182.10595,269658.233764,52010300,5,مسكوني,65,0.75
ناحيه 8 گرگان,41114553,990307,990331,191,9384,2252,904,1131070,قرائت نشده,1391/09/17,,,17771400,3,مسكوني,37,0.75
ناحيه روستايي گرگان,11398423,971204,950420,292,16024,8486,546,1307796,nan,1396/05/21,4076854.77362,,33421915,16,مسكوني,41,0.75
ناحيه 50 مراکز اداري دولتي ,11257994,970913,980730,199,22036,9747,776,388719,nan,1390/03/28,,271696.07281700004,42841700,24,مسكوني,70,0.75
ناحيه 1 گرگان,11504916,980604,980209,156,970,18656,76,353339,قرائت نشده,1396/08/03,4078433.56435,274026.687764,12180100,16,مسكوني,37,0.75
ناحيه 6 گرگان,11529765,970821,991128,61,8091,13262,460,1237593,nan,1394/06/21,,,12268100,8,مسكوني,23,0.75
ناحيه 6 گرگان,11312812,960826,990406,80,3665,11763,1039,1110096,nan,1396/04/25,4076805.04736,,14903300,2,مسكوني,72,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11355074,990620,981217,332,15994,1566,233,285262,از کار افتاده,1391/06/29,,271289.361317,21975100,6,مسكوني,70,0.75
ناحيه 2 گرگان,11138294,981030,981119,32,8463,3342,343,3118348,nan,1394/09/10,,,22160000,12,مسكوني,36,0.75
ناحيه 9 گرگان,11173162,990622,960903,215,10850,10426,217,648279,از کار افتاده,1394/03/02,4080341.958230001,273085.27815900004,51790700,21,مسكوني,23,0.75
ناحيه 7 گرگان,11474553,980506,970231,77,12621,10073,682,302734,از کار افتاده,1397/09/10,,273171.969058,22370100,9,مسكوني,72,0.75
ناحيه 6 گرگان,11129813,960713,960401,56,2648,20478,333,402677,قرائت نشده,1395/03/25,,271208.252083,14167600,10,مسكوني,22,0.75
ناحيه 9 گرگان,11456431,981006,971018,414,7143,7604,1049,499625,nan,1395/08/11,4079764.23925,36.8466083333333,51851100,10,مسكوني,296,0.75
ناحيه 2 گرگان,41157333,960924,950317,33,6675,12963,445,887150,nan,1391/08/02,,,16788600,8,مسكوني,198,0.75
ناحيه روستايي گرگان,11613472,970204,950502,70,13535,8584,141,409807,قرائت نشده,1397/05/31,4075705.36162,274566.500145,52010300,20,مسكوني,43,0.75
ناحيه روستايي گرگان,11282778,950424,970615,35,10205,3522,331,411011,nan,1394/09/05,,,41561100,14,مسكوني,75,0.75
ناحيه 4 گرگان,11525450,950627,980911,287,7300,17712,437,1656783,nan,1396/08/18,,,51410100,23,مسكوني,27,0.75
ناحيه 8 گرگان,11370677,950407,980813,220,758,7436,0,2480505,nan,1394/09/25,,,24252100,10,مسكوني,66,0.75
ناحيه 1 گرگان,11476939,990225,961224,600,10324,17149,383,1129039,nan,1398/06/14,,,27024400,5,مسكوني,41,0.75
ناحيه 5 گرگان,11269739,990426,991110,353,12471,3645,457,504971,nan,1397/03/26,,269195.735506,23280900,11,مسكوني,61,0.75
ناحيه 8 گرگان,11257528,991007,990310,28,9831,9452,236,651841,از کار افتاده,1395/05/24,,,41630000,17,مسكوني,58,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11472445,990719,980910,109,12884,4490,219,258949,قرائت نشده,1393/07/01,4079165.49268,,27312000,16,مسكوني,30,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,41163619,980626,990927,209,8753,2722,117,465322,nan,1397/07/15,4081189.22488,271682.419574,32510400,10,مسكوني,8,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,41137693,981010,950502,210,18609,10654,273,223616,قرائت نشده,1390/06/14,4078590.75199,,25061700,8,مسكوني,28,0.75
املاک استيجاري اموزشي  ,11526154,950105,970414,59,9462,3331,251,351491,از کار افتاده,1390/11/24,4077492.77084,,16948700,4,مسكوني,40,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11412078,940915,991016,84,17215,1396,422,586593,قرائت نشده,1399/08/11,4075226.78899,,27064900,10,مسكوني,5,0.75
ناحيه 9 گرگان,11195221,971123,981106,116,4497,3668,42,477287,قرائت نشده,1397/09/24,4078290.66706,,42172800,2,مسكوني,198,0.75
ناحيه 1 گرگان,61691173,950503,950130,316,3039,4404,466,2920730,قرائت نشده,1392/06/07,,,42172500,24,مسكوني,77,0.75
ناحيه 4 گرگان,11296744,940429,960827,256,9523,14244,81,995842,از کار افتاده,1399/09/03,4075791.79444,,61100100,42,مسكوني,79,0.75
ناحيه 8 گرگان,11419706,980121,981217,153,1330,20010,235,134092,قرائت نشده,1392/03/28,,271680.43029299995,16643400,12,مسكوني,7,0.75
ناحيه 5 گرگان,11429892,950601,950224,314,15377,14386,419,214340,از کار افتاده,1395/04/12,,,16994800,8,مسكوني,52,0.75
ناحيه روستايي گرگان,11316419,950625,950430,954,9581,991,532,648215,قرائت نشده,1390/11/25,,271140.34985,25010300,2,مسكوني,104,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,41114278,981028,980812,204,15550,14065,59,107125,nan,1394/02/19,,272886.020534,41080500,42,مسكوني,5,0.75
ناحيه 1 گرگان,61697997,950621,970123,55,15995,21364,467,724742,از کار افتاده,1397/05/14,,,54040000,9,مسكوني,0,0.75
ناحيه روستايي گرگان,11475690,960624,990214,69,15385,2336,809,729057,از کار افتاده,1398/04/19,4078710.93065,273214.573924,61137700,11,مسكوني,15,0.75
ناحيه 50 مراکز اداري دولتي ,11336983,971017,950311,287,2479,14074,429,324541,nan,1390/10/08,,,16966611,6,مسكوني,240,0.75
ناحيه 7 گرگان,11319744,970315,980628,223,10342,4853,310,499339,قرائت نشده,1397/05/09,,,63411400,28,مسكوني,28,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,41160415,970519,980518,332,2843,6728,191,496038,از کار افتاده,1394/02/24,,272940.394209,23240200,16,مسكوني,296,0.75
ناحيه 7 گرگان,11361864,960403,981029,141,16629,10596,381,456725,nan,1392/12/13,,,42084600,5,مسكوني,63,0.75
ناحيه 9 گرگان,11308700,950403,950824,91,5520,2702,189,409416,از کار افتاده,1397/09/14,,272672.804639,46751800,9,مسكوني,35,0.75
ناحيه 8 گرگان,11134850,951207,990124,165,6710,17083,1039,560215,از کار افتاده,1395/03/22,,,11561301,6,مسكوني,13,0.75
ناحيه 6 گرگان,11285203,941203,990918,58,33606,11367,841,2442818,قرائت نشده,1394/06/01,4078665.20195,273240.997171,25315500,17,مسكوني,58,0.75
ناحيه 9 گرگان,11672883,950507,960311,76,854,12187,1426,1960968,قرائت نشده,1390/08/25,,273537.601675,14003505,12,مسكوني,13,0.75
ناحيه 2 گرگان,11314386,981007,961122,145,4308,5053,604,85103,قرائت نشده,1397/12/13,4077051.29784,,21471400,3,مسكوني,6,0.75
ناحيه 1 گرگان,41011754,960314,990531,979,3893,11121,685,479712,قرائت نشده,1393/08/17,,272042.53759,16744900,1,مسكوني,105,0.75
ناحيه روستايي گرگان,11694288,980706,950810,25,5460,7603,134,542294,از کار افتاده,1396/07/27,,272412.534854,36342000,3,مسكوني,80,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,41139084,950205,970302,260,14279,4484,938,1352398,nan,1393/10/09,,273175.120442,17230045,5,مسكوني,70,0.75
ناحيه 3 گرگان,41015334,960711,990909,172,3392,1836,445,156870,nan,1393/09/24,,,17260800,10,مسكوني,8,0.75
ناحيه 9 گرگان,11683058,990528,980411,7,14014,7777,164,3254770,از کار افتاده,1390/09/06,,,12121400,21,مسكوني,7,0.75
ناحيه 1 گرگان,11548654,960905,970218,223,7578,4739,421,329424,از کار افتاده,1391/10/04,4080428.61275,269173.664338,23630200,18,مسكوني,66,0.75
ناحيه 50 مراکز اداري دولتي ,41135909,940716,950429,217,4481,7643,396,2416363,از کار افتاده,1390/11/18,,,17840900,17,مسكوني,100,0.75
ناحيه 50 مراکز اداري دولتي ,11601890,970322,960603,178,6345,23799,1,1236154,از کار افتاده,1399/05/14,,273135.368604,52650000,17,مسكوني,58,0.75
ناحيه 9 گرگان,11316061,980415,970119,181,7695,1138,2,347265,nan,1398/06/03,,,14184600,17,مسكوني,32,0.75
ناحيه 1 گرگان,11169343,950601,980319,600,8726,1959,139,614163,nan,1390/09/08,4079589.0792,272503.292841,25001000,24,مسكوني,12,0.75
ناحيه 7 گرگان,11344587,990204,961219,26,12123,23,361,688880,nan,1390/05/15,4079338.42908,270225.326489,23161200,14,مسكوني,72,0.75
ناحيه 2 گرگان,11714380,961126,980701,365,18132,8382,734,1262085,از کار افتاده,1393/02/15,4075599.596380001,274462.61593200004,23490500,3,مسكوني,32,0.75
ناحيه 50 مراکز اداري دولتي ,11318934,970119,980816,149,1025,5409,116,302877,nan,1392/12/15,,268327.512398,22370100,4,مسكوني,77,0.75
ناحيه 6 گرگان,11564838,941224,980601,432,1246,3479,733,436415,از کار افتاده,1390/11/18,,,52632500,7,مسكوني,43,0.75
ناحيه 3 گرگان,11688610,950130,950518,171,15312,16845,281,555914,از کار افتاده,1393/05/11,4079208.22961,272267.286198,24120900,11,مسكوني,52,0.75
ناحيه روستايي گرگان,11223151,990527,970702,53,7383,6308,2,172922,قرائت نشده,1393/07/29,,36.84754,16511000,12,مسكوني,9,0.75
ناحيه 5 گرگان,61689526,990505,950106,19,11919,11976,180,954401,قرائت نشده,1395/10/17,4077287.98063,,26400101,20,مسكوني,10,0.75
املاک استيجاري اموزشي  ,11378457,971117,990222,1012,2904,9475,174,1168256,از کار افتاده,1395/05/17,,,45121300,9,مسكوني,131,0.75
ناحيه 7 گرگان,11603558,980424,980419,310,5033,932,817,822352,قرائت نشده,1393/03/01,4082371.17505,,16832000,8,مسكوني,40,0.75
ناحيه 1 گرگان,11296159,990229,950429,46,21912,7732,330,718205,از کار افتاده,1395/06/28,4076623.24901,,14291600,4,مسكوني,75,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11487574,971224,960802,286,6885,3917,137,1096418,از کار افتاده,1396/03/27,,273014.697036,61122300,15,مسكوني,17,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11613731,950521,960216,109,15307,12281,524,730421,قرائت نشده,1396/01/24,,,46725100,11,مسكوني,32,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11283421,941011,960827,57,16934,16634,474,2333097,nan,1392/02/05,,271934.307932,26351200,42,مسكوني,10,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11132954,950828,971018,103,10039,12189,120,754426,قرائت نشده,1396/08/20,4079575.10741,273449.057293,25226400,16,مسكوني,77,0.75
ناحيه 6 گرگان,41126501,961214,990820,360,9621,9252,373,1153374,nan,1391/04/10,4075839.23025,,11550000,5,مسكوني,18,0.75
ناحيه 2 گرگان,11378546,980513,950204,220,22202,9992,484,148921,قرائت نشده,1399/02/06,,,11533000,1,مسكوني,14,0.75
ناحيه 6 گرگان,11319736,971129,960725,251,14227,13743,514,79356,از کار افتاده,1393/04/23,4078504.13181,271923.264488,21976800,13,مسكوني,24,0.75
ناحيه 3 گرگان,11116631,970525,980314,400,21901,5725,287,113241,قرائت نشده,1395/12/26,4078304.50584,,41125600,8,مسكوني,30,0.75
ناحيه 1 گرگان,11221043,961008,970704,96,7268,6688,350,232356,از کار افتاده,1396/05/17,4078619.15133,,16983400,3,مسكوني,5,0.75
ناحيه 50 مراکز اداري دولتي ,11396005,960103,950514,283,67,662,821,1351642,قرائت نشده,1397/11/29,4077181.40483,,26215100,24,مسكوني,37,0.75
ناحيه 7 گرگان,11180801,980515,980826,89,12853,12153,639,508871,از کار افتاده,1396/09/22,4079174.23062,,46786000,11,مسكوني,65,0.75
ناحيه 3 گرگان,11166514,960802,970810,870,3512,2795,145,84343,از کار افتاده,1398/12/24,4081242.55573,,14771700,3,مسكوني,104,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11642612,990910,990416,69,13013,6336,418,679250,از کار افتاده,1397/02/08,,273163.473999,17833500,23,مسكوني,65,0.75
ناحيه 7 گرگان,11314777,970329,970809,155,8589,4467,722,574662,از کار افتاده,1398/05/26,4077072.70391,,22362200,8,مسكوني,27,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,41164640,951120,981129,163,4267,10288,526,151268,nan,1393/04/01,4080659.66354,,23381400,8,مسكوني,7,0.75
ناحيه 8 گرگان,11631560,991019,960420,14,9391,10690,434,226057,nan,1390/05/26,,,16950600,4,مسكوني,79,0.75
ناحيه 3 گرگان,61690927,990802,960403,107,8330,54,686,974299,از کار افتاده,1391/09/23,4080463.70087,,26250965,24,مسكوني,63,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11474847,980722,970130,112,17005,6390,434,226626,nan,1393/04/02,,272633.38467600005,42301500,11,مسكوني,0,0.75
ناحيه 5 گرگان,11295985,970330,950606,20,6615,15211,551,215736,nan,1397/03/27,,,21871700,14,مسكوني,62,0.75
ناحيه 2 گرگان,41123650,970407,990331,148,4214,961,515,1062407,از کار افتاده,1395/06/14,54.436240000000005,273739.251501,46632001,4,مسكوني,40,0.75
ناحيه روستايي گرگان,11155466,990803,960804,147,13007,14073,2142,806997,قرائت نشده,1392/11/30,,272687.408634,21543200,9,مسكوني,22,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11319329,960806,950515,360,13331,15479,329,341518,nan,1393/01/27,4079046.09394,269628.736977,15031225,12,مسكوني,40,0.75
ناحيه 2 گرگان,11590472,960507,960401,146,13911,2685,632,413631,قرائت نشده,1393/09/20,4080173.24911,,22031300,13,مسكوني,40,0.75
املاک استيجاري اموزشي  ,11477561,990215,980312,305,15874,46041,158,640148,از کار افتاده,1395/11/14,4079466.10138,273076.89901,14960000,7,مسكوني,105,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,41159654,990909,970117,292,2050,5082,738,1444129,nan,1399/03/30,4079131.98104,,43613800,2,مسكوني,41,0.75
ناحيه روستايي گرگان,11384376,980922,970214,186,10017,6343,213,181953,nan,1393/06/08,,,55136015,10,مسكوني,43,0.75
ناحيه 1 گرگان,41176541,950511,960110,286,606,22229,29,676520,از کار افتاده,1390/10/18,4081424.41918,272902.61656999995,43392000,17,مسكوني,7,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11134868,960720,950108,24,14835,253,250,669867,از کار افتاده,1390/12/17,,,16654701,1,مسكوني,9,0.75
ناحيه 3 گرگان,11315153,961224,980410,174,18272,11353,222,233315,nan,1397/10/20,4078715.37272,,51782700,15,مسكوني,13,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,41181790,950414,980303,100,4061,1064,169,478966,قرائت نشده,1398/12/18,,273054.526746,17813200,42,مسكوني,36,0.75
ناحيه 1 گرگان,11431161,980911,990427,317,7859,8088,809,111710,از کار افتاده,1397/07/11,,271772.412159,25035400,15,مسكوني,58,0.75
ناحيه 2 گرگان,11250647,980906,991107,221,8399,1203,250,606621,nan,1391/06/07,,,14771900,18,مسكوني,61,0.75
ناحيه 4 گرگان,41184497,981217,950426,127,10588,17547,385,491122,از کار افتاده,1397/05/03,,270581.523048,16995400,1,مسكوني,72,0.75
ناحيه 6 گرگان,41148105,990629,990419,377,4698,15068,493,1105818,از کار افتاده,1392/08/18,,273137.833777,64101500,2,مسكوني,40,0.75
ناحيه 4 گرگان,11431846,990509,980713,52,30145,10161,284,333278,nan,1390/04/08,4076795.84092,271958.490634,43400900,8,مسكوني,105,0.75
ناحيه 1 گرگان,41173592,981012,971020,346,17005,23191,700,1323400,قرائت نشده,1390/08/03,,,36105800,28,مسكوني,70,0.75
ناحيه 3 گرگان,11614185,971218,960420,170,7542,6724,508,720478,nan,1397/11/08,4080258.03066,,33420200,4,مسكوني,23,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11685156,981012,980808,165,1121,2003,766,349403,از کار افتاده,1396/09/26,4081338.53415,,62250515,7,مسكوني,24,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11156934,980527,960808,376,11264,2733,633,898571,قرائت نشده,1394/12/12,,36.8470916666666,33436300,24,مسكوني,50,0.75
ناحيه 8 گرگان,41126896,940726,970316,23,3496,17074,618,884136,قرائت نشده,1390/05/23,,,16558100,42,مسكوني,65,0.75
ناحيه 4 گرگان,11129830,980814,971224,174,9834,3705,279,600748,از کار افتاده,1396/10/14,4080387.97103,,42040200,21,مسكوني,17,0.75
ناحيه 3 گرگان,11443496,990601,950314,49,4772,2359,538,1940314,nan,1395/01/22,4075719.58248,,42622500,15,مسكوني,114,0.75
ناحيه 4 گرگان,41120014,980121,980631,179,1743,16496,634,802613,nan,1397/11/10,,,51853400,3,مسكوني,0,0.75
ناحيه 6 گرگان,41127663,970909,971118,55,8346,1851,738,390935,از کار افتاده,1397/06/12,4079536.06961,273221.467012,17016900,15,مسكوني,48,0.75
ناحيه 7 گرگان,11436414,950526,980925,172,6505,10828,489,711316,nan,1390/05/04,,269958.915623,46171369,20,مسكوني,36,0.75
ناحيه 50 مراکز اداري دولتي ,41153753,981114,980604,560,13060,6430,222,550415,nan,1394/12/15,4080075.65042,272895.485684,61222700,6,مسكوني,72,0.75
ناحيه روستايي گرگان,61689051,920814,971018,207,12539,6218,345,350973,nan,1397/02/07,,272209.36747199995,43533600,2,مسكوني,30,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11299395,940727,950130,261,3520,1138,1289,1958997,nan,1392/11/13,,,74430055,17,مسكوني,70,0.75
ناحيه 9 گرگان,11262050,950223,950424,88,10425,2958,227,1453195,قرائت نشده,1397/08/01,,272241.7737,16745700,4,مسكوني,12,0.75
ناحيه 6 گرگان,11526278,950714,970407,153,8268,14473,522,100405,از کار افتاده,1391/12/26,4079802.26471,272203.196654,51572000,14,مسكوني,14,0.75
ناحيه 1 گرگان,11330594,971208,970823,436,6572,6245,456,902615,قرائت نشده,1390/10/08,4079907.78462,272906.534318,16975600,11,مسكوني,50,0.75
ناحيه 6 گرگان,11121391,990612,980402,57,13072,9758,176,776471,از کار افتاده,1394/03/01,4080925.94816,272933.63233600004,32200700,42,مسكوني,14,0.75
ناحيه 3 گرگان,11371941,970525,951023,98,7491,1762,210,1505205,از کار افتاده,1394/02/01,4077137.46494,270183.879827,11112600,2,مسكوني,131,0.75
ناحيه 2 گرگان,11480464,950116,970618,339,39083,299,2771,353954,قرائت نشده,1399/07/09,,,16470300,2,مسكوني,16,0.75
ناحيه 7 گرگان,11170350,970414,980517,107,188,6130,846,275286,از کار افتاده,1390/06/02,,,61181600,21,مسكوني,12,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11127004,970914,990730,174,12054,10164,519,2505833,از کار افتاده,1390/02/24,4077573.97835,274172.16184699995,16853000,15,مسكوني,15,0.75
ناحيه 3 گرگان,11599836,980730,950609,63,17210,15266,1506,3456808,قرائت نشده,1391/12/11,,,24111900,3,مسكوني,58,0.75
ناحيه 8 گرگان,61691719,950821,970626,414,17406,10883,532,1950200,قرائت نشده,1396/12/17,,,16964600,24,مسكوني,165,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,61688577,980104,960127,32,8254,6918,235,182923,nan,1392/02/02,,270528.429813,14921000,14,مسكوني,198,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11237195,950716,971111,145,18900,1290,758,136742,از کار افتاده,1395/05/17,4079224.18606,271804.242187,54040000,11,مسكوني,35,0.75
ناحيه 4 گرگان,11290525,990821,980818,203,13988,6844,140,346974,nan,1389/12/23,4080836.52371,,41712900,18,مسكوني,14,0.75
ناحيه 5 گرگان,11107119,951015,990729,61,13237,13756,576,1830283,از کار افتاده,1398/08/24,4079135.78187,,14300600,23,مسكوني,11,0.75
ناحيه 7 گرگان,41183369,950310,960602,369,14109,5190,560,250393,nan,1393/02/25,4081566.6053,273682.787733,14510055,3,مسكوني,62,0.75
ناحيه 2 گرگان,61693311,960920,961026,87,4081,13516,826,309385,قرائت نشده,1395/08/20,,,27027400,42,مسكوني,30,0.75
ناحيه 7 گرگان,11321161,970417,951027,134,7579,3211,144,125403,قرائت نشده,1398/03/11,,,62204645,15,مسكوني,19,0.75
ناحيه 2 گرگان,11425919,960515,990630,361,12059,8978,51,869408,nan,1396/04/18,4079606.62072,271816.364099,23701100,2,مسكوني,20,0.75
ناحيه 5 گرگان,11311042,960809,990522,356,32350,4100,962,815073,nan,1398/12/24,,,24014300,13,مسكوني,22,0.75
ناحيه 1 گرگان,11262467,970715,990902,199,1998,448,200,1832122,از کار افتاده,1395/06/28,,273071.657101,26494500,42,مسكوني,24,0.75
ناحيه 9 گرگان,11684057,981024,970722,197,4441,13110,0,296190,nan,1394/08/18,,271374.987107,23811100,24,مسكوني,9,0.75
ناحيه 4 گرگان,11475967,950426,980204,166,13855,8420,256,1571716,از کار افتاده,1397/03/17,4078127.10251,272860.995565,65160675,21,مسكوني,10,0.75
ناحيه 8 گرگان,11306766,941021,950817,357,7835,118,533,1007904,قرائت نشده,1393/03/11,4076218.08993,,14762200,3,مسكوني,7,0.75
